Date,AAPL,AMZN,GOOGL,MSFT,TSLA,^GSPC
2024-01-02,183.5621795654297,149.92999267578125,137.0373992919922,363.8014831542969,248.4199981689453,4742.830078125
2024-01-03,182.18775939941406,148.47000122070312,137.78125,363.53668212890625,238.4499969482422,4704.81005859375
2024-01-04,179.8739471435547,144.57000732421875,135.27197265625,360.92730712890625,237.92999267578125,4688.68017578125
2024-01-05,179.15211486816406,145.24000549316406,134.61737060546875,360.7409973144531,237.49000549316406,4697.240234375
2024-01-08,183.4830780029297,149.10000610351562,137.701904296875,367.5486755371094,240.4499969482422,4763.5400390625
2024-01-09,183.06776428222656,151.3699951171875,139.7946014404297,368.62774658203125,234.9600067138672,4756.5
2024-01-10,184.10601806640625,153.72999572753906,141.1136932373047,375.4747009277344,233.94000244140625,4783.4501953125
2024-01-11,183.5127410888672,155.17999267578125,140.91534423828125,377.2992858886719,227.22000122070312,4780.240234375
2024-01-12,183.8390350341797,154.6199951171875,141.4806365966797,381.0660705566406,218.88999938964844,4783.830078125
2024-01-16,181.57470703125,153.16000366210938,141.3219757080078,382.831787109375,219.91000366210938,4765.97998046875
2024-01-17,180.63531494140625,151.7100067138672,140.31033325195312,382.0469970703125,215.5500030517578,4739.2099609375
2024-01-18,186.51870727539062,153.5,142.30384826660156,386.3631286621094,211.8800048828125,4780.93994140625
2024-01-19,189.41595458984375,155.33999633789062,145.1800994873047,391.0716857910156,212.19000244140625,4839.81005859375
2024-01-22,191.7198486328125,154.77999877929688,144.79327392578125,388.9529113769531,208.8000030517578,4850.43017578125
2024-01-23,192.99542236328125,156.02000427246094,145.8346710205078,391.2972717285156,209.13999938964844,4864.60009765625
2024-01-24,192.32301330566406,156.8699951171875,147.4810791015625,394.8875427246094,207.8300018310547,4868.5498046875
2024-01-25,191.99671936035156,157.75,150.6250762939453,397.15350341796875,182.6300048828125,4894.16015625
2024-01-26,190.2662811279297,159.1199951171875,150.9424591064453,396.2313537597656,183.25,4890.97021484375
2024-01-29,189.58399963378906,161.25999450683594,152.25164794921875,401.9110412597656,190.92999267578125,4927.93017578125
2024-01-30,185.93533325195312,159.0,150.2184600830078,400.8025817871094,191.58999633789062,4924.97021484375
2024-01-31,182.33607482910156,155.1999969482422,138.95156860351562,390.0024719238281,187.2899932861328,4845.64990234375
2024-02-01,184.7685546875,159.27999877929688,140.00286865234375,396.0842590332031,188.86000061035156,4906.18994140625
2024-02-02,183.76983642578125,171.80999755859375,141.212890625,403.3824768066406,187.91000366210938,4958.60986328125
2024-02-05,185.57936096191406,170.30999755859375,142.502197265625,397.9186096191406,181.05999755859375,4942.81005859375
2024-02-06,187.18121337890625,169.14999389648438,142.91879272460938,397.7616882324219,185.10000610351562,4954.22998046875
2024-02-07,187.28997802734375,170.52999877929688,144.34695434570312,406.1584777832031,187.5800018310547,4995.06005859375
2024-02-08,186.2122039794922,169.83999633789062,144.71392822265625,406.2173767089844,189.55999755859375,4997.91015625
2024-02-09,186.9745330810547,174.4499969482422,147.77859497070312,412.5346374511719,193.57000732421875,5026.60986328125
2024-02-12,185.29141235351562,172.33999633789062,146.32064819335938,407.345458984375,188.1300048828125,5021.83984375
2024-02-13,183.2023468017578,168.63999938964844,143.95025634765625,398.5758361816406,184.02000427246094,4953.169921875
2024-02-14,182.3212127685547,170.97999572753906,144.7436981201172,402.4282531738281,188.7100067138672,5000.6201171875
2024-02-15,182.03407287597656,169.8000030517578,141.5996856689453,399.5487976074219,200.4499969482422,5029.72998046875
2024-02-16,180.49949645996094,169.50999450683594,139.36813354492188,397.0919189453125,199.9499969482422,5005.56982421875
2024-02-20,179.75692749023438,167.0800018310547,139.96319580078125,395.8438415527344,193.75999450683594,4975.509765625
2024-02-21,180.50941467285156,168.58999633789062,141.38150024414062,395.2442932128906,194.77000427246094,4981.7998046875
2024-02-22,182.53900146484375,174.5800018310547,142.9088592529297,404.551025390625,197.41000366210938,5087.02978515625
2024-02-23,180.7073974609375,174.99000549316406,142.77993774414062,403.2636413574219,191.97000122070312,5088.7998046875
2024-02-26,179.3609161376953,174.72999572753906,136.44232177734375,400.51190185546875,199.39999389648438,5069.52978515625
2024-02-27,180.8163299560547,173.5399932861328,137.7415771484375,400.4529113769531,199.72999572753906,5078.18017578125
2024-02-28,179.61830139160156,173.16000366210938,135.26205444335938,400.6888122558594,202.0399932861328,5069.759765625
2024-02-29,178.95498657226562,176.75999450683594,137.3250274658203,406.5067443847656,201.8800048828125,5096.27001953125
2024-03-01,177.87582397460938,178.22000122070312,136.0158233642578,408.3345947265625,202.63999938964844,5137.080078125
2024-03-04,173.36109924316406,177.5800018310547,132.25689697265625,407.76458740234375,188.13999938964844,5130.9501953125
2024-03-05,168.43052673339844,174.1199951171875,131.5824737548828,395.7062072753906,180.74000549316406,5078.64990234375
2024-03-06,167.4404754638672,173.50999450683594,130.32289123535156,395.1558837890625,176.5399932861328,5104.759765625
2024-03-07,167.3216552734375,176.82000732421875,133.2784423828125,402.0842590332031,178.64999389648438,5157.35986328125
2024-03-08,169.03448486328125,175.35000610351562,134.30001831054688,399.21466064453125,175.33999633789062,5123.68994140625
2024-03-11,171.03443908691406,171.9600067138672,136.54148864746094,397.5439758300781,177.77000427246094,5117.93994140625
2024-03-12,171.5096435546875,175.38999938964844,137.3647003173828,408.1184387207031,177.5399932861328,5175.27001953125
2024-03-13,169.4305419921875,176.55999755859375,138.64410400390625,407.9415588378906,169.47999572753906,5165.31005859375
2024-03-14,171.2819366455078,178.75,141.92697143554688,417.88702392578125,162.5,5150.47998046875
2024-03-15,170.90570068359375,174.4199981689453,140.02272033691406,409.23870849609375,163.57000732421875,5117.08984375
2024-03-18,171.9948272705078,174.47999572753906,146.4694366455078,410.12322998046875,173.8000030517578,5149.419921875
2024-03-19,174.3313446044922,175.89999389648438,145.8247528076172,414.1427001953125,171.32000732421875,5178.509765625
2024-03-20,176.8956298828125,178.14999389648438,147.520751953125,417.89678955078125,175.66000366210938,5224.6201171875
2024-03-21,169.66810607910156,178.14999389648438,146.39010620117188,421.9654235839844,172.82000732421875,5241.52978515625
2024-03-22,170.56910705566406,178.8699951171875,149.53411865234375,421.3462829589844,170.8300018310547,5234.18017578125
2024-03-25,169.15330505371094,179.7100067138672,148.83985900878906,415.56768798828125,172.6300048828125,5218.18994140625
2024-03-26,168.02464294433594,178.3000030517578,149.4349365234375,414.3785705566406,177.6699981689453,5203.580078125
2024-03-27,171.58885192871094,179.8300018310547,149.63327026367188,414.162353515625,179.8300018310547,5248.490234375
2024-03-28,169.7770538330078,180.3800048828125,149.69281005859375,413.4645690917969,175.7899932861328,5254.35009765625
2024-04-01,168.34144592285156,180.97000122070312,154.2154083251953,417.24822998046875,175.22000122070312,5243.77001953125
